N,scenario,method,obj_mean,obj_std,runtime_mean,gap_pct_mean,success_rate,cg_status,gap_type
200,P,Greedy,612766.5625197373,6550.991395110825,0.16614974999993135,,1.0,,
200,P,Restricted-CG,612766.562519737,6550.991395110907,2.442581549999886,5.455762988796854e-13,1.0,budgeted_topK,Pool LP-IP gap
200,P,fix_and_optimize,603652.7370650142,9994.277669307057,23.39652809999984,,1.0,,
200,P,rolling_horizon,618715.4554674658,10161.19984672582,34.623295750000125,,1.0,,
200,U,CG+IR,667515.8045691814,12922.684380393748,6.034292699999924,0.0,1.0,budgeted_topK,Pool LP-IP gap
200,U,FIFO,593160.7572364142,6338.7401390438745,0.08679869999991746,,1.0,,
200,U,Greedy,595818.597024032,3730.199960936239,0.16828320000013264,,1.0,,
200,U,Restricted-CG,595818.597024032,3730.1999609360746,2.490033399999902,0.0,1.0,budgeted_topK,Pool LP-IP gap
200,U,fix_and_optimize,583667.1920388674,2257.32887190834,24.69128840000008,,1.0,,
200,U,rolling_horizon,587278.8690050195,3631.230504308476,36.94238079999991,,1.0,,
500,L,CG+IR,1900519.8950946967,2588.1002974256953,17.72527594999997,0.0,1.0,budgeted_topK,Pool LP-IP gap
500,L,FIFO,1805766.7337481305,1861.718488634045,0.3010916000000634,,1.0,,
500,L,Greedy,1800258.7518004682,6088.110450109265,0.41517945000009604,,1.0,,
500,L,Restricted-CG,1800258.7518004682,6088.1104501081945,5.830223899999737,0.0,1.0,budgeted_topK,Pool LP-IP gap
500,P,CG+IR,1910885.3288637388,28701.18184378811,16.16816030000018,0.0,1.0,budgeted_topK,Pool LP-IP gap
500,P,FIFO,1844197.0096379528,30652.50128127214,0.261357549999957,,1.0,,
500,P,Greedy,1836775.9005446406,22973.708029535137,0.42100860000005014,,1.0,,
500,P,Restricted-CG,1836623.898464234,23188.671433154068,5.854894149999836,0.0,1.0,budgeted_topK,Pool LP-IP gap
500,U,CG+IR,1895879.119172836,2067.946120723565,16.22780725000007,0.0163640897671085,1.0,budgeted_topK,Pool LP-IP gap
500,U,FIFO,1832081.126358052,8348.230215786247,0.26029625000001033,,1.0,,
500,U,Greedy,1827966.7367902077,4424.616299814478,0.4161847499999567,,1.0,,
500,U,Restricted-CG,1827373.0124593372,5264.269300841433,5.865549400000191,6.38364174940143e-15,1.0,budgeted_topK,Pool LP-IP gap
