capacity_config,carbon_price,C_AE,KSP,KBS,seed,total_cost,energy_cost,delay_cost,sp_share,bs_share,ae_share,avg_stay_time,masking_rate,runtime
constrained,140,0.75,1,1,2,251644.71479495044,251444.71479495044,200.0,0.08,0.45,0.47,14.718998822214836,0.26883928035408544,5.652903199952561
constrained,140,0.75,1,1,3,244543.6540283622,244543.6540283622,0.0,0.08,0.44,0.48,15.451686215972781,0.32121665371988656,5.5864556999877095
constrained,140,0.75,1,1,4,234810.83478557286,233860.83478557286,950.0,0.09,0.48,0.43,15.957153220617565,0.22595477135976655,6.460443099960685
constrained,140,0.75,1,1,5,239791.48229600472,238991.48229600472,800.0,0.08,0.46,0.46,14.76919640303395,0.23739794063817685,5.378317199996673
constrained,140,0.75,1,1,6,243634.11013725962,243134.11013725962,500.0,0.09,0.46,0.45,14.836613926521652,0.28013230858648624,5.132604199985508
constrained,140,0.75,1,1,7,250938.1373091787,250338.1373091787,600.0,0.08,0.45,0.47,15.147350558903945,0.298075448229329,5.157276500016451
constrained,140,0.75,1,1,8,248344.3261340025,247544.3261340025,800.0,0.08,0.45,0.47,15.235485488192216,0.3155619446090816,5.479772199993022
constrained,140,0.75,1,1,9,242373.64150624143,241848.64150624143,525.0,0.08,0.46,0.46,14.746332846219147,0.24724202302376683,4.685308800020721
constrained,140,0.75,1,1,10,240367.55310927788,239967.55310927788,400.0,0.09,0.46,0.45,15.563050745201116,0.298662758213046,5.145633100008126
constrained,200,0.9,1,1,1,258443.06389380828,258193.06389380828,250.0,0.08,0.47,0.45,15.025933988702622,0.2645405510898351,5.4158248999738134
constrained,200,0.9,1,1,2,277148.2477576677,275698.2477576677,1450.0,0.08,0.46,0.46,14.895858417994742,0.268623850591988,5.4869381000171416
constrained,200,0.9,1,1,3,270915.80359377543,269315.80359377543,1600.0,0.08,0.45,0.47,15.514134474523914,0.31967374096769635,5.627563600020949
constrained,200,0.9,1,1,4,258334.74912718756,257384.74912718756,950.0,0.09,0.48,0.43,15.920698499920379,0.2439312398071204,6.239788900013082
constrained,200,0.9,1,1,5,264549.26597774634,263749.26597774634,800.0,0.08,0.46,0.46,14.724985832835648,0.2590134870808169,5.375753599975724
constrained,200,0.9,1,1,6,268411.3965982714,266661.3965982714,1750.0,0.09,0.47,0.44,14.914711694893743,0.290269657671531,5.169340200023726
constrained,200,0.9,1,1,7,276998.7125119589,276398.7125119589,600.0,0.08,0.45,0.47,15.039554386123104,0.296334457269366,5.114975699980278
constrained,200,0.9,1,1,8,274304.2311762666,273504.2311762666,800.0,0.08,0.45,0.47,15.22745229364461,0.30756490395966546,5.479142999975011
constrained,200,0.9,1,1,9,267463.53179652785,266938.53179652785,525.0,0.08,0.46,0.46,14.900664556935135,0.22319142659513297,5.136718399997335
constrained,200,0.9,1,1,10,264932.2707851011,264532.2707851011,400.0,0.09,0.46,0.45,15.62817934952853,0.252857823113996,5.170006700034719
constrained,260,1.05,1,1,1,281767.63289821683,279367.63289821683,2400.0,0.08,0.48,0.44,15.250740850348398,0.2453023164471332,5.720898999948986
constrained,260,1.05,1,1,2,302446.8086511418,300596.8086511418,1850.0,0.08,0.46,0.46,14.795749012319142,0.3014949600370205,5.744658800016623
constrained,260,1.05,1,1,3,296688.8876539144,294288.8876539144,2400.0,0.08,0.45,0.47,15.647689865982592,0.29967959364856106,5.8018969999975525
constrained,260,1.05,1,1,4,281837.49368611607,278512.49368611607,3325.0,0.09,0.49,0.42,15.908542744883778,0.24324673415432596,6.579317499999888
constrained,260,1.05,1,1,5,289046.77793126577,285421.77793126577,3625.0,0.09,0.47,0.44,14.88892345840875,0.23966019722976997,5.518351100035943
constrained,260,1.05,1,1,6,292488.1108337778,288563.1108337778,3925.0,0.09,0.48,0.43,15.038313307840308,0.2864800337193114,5.39336300001014
constrained,260,1.05,1,1,7,302859.7490816956,300059.7490816956,2800.0,0.08,0.46,0.46,15.152958351876917,0.31852069391475174,5.385105699999258
